Rk,Name,S,C,F,Yrs,From,To,ASG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,Name-additional
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
71,Alex Colomé,-,-,-,1,2022,2022,0,2,7,.222,5.74,53,0,13,0,0,4,47.0,57,36,30,5,22,2,32,0,1,4,215,81,colomal01
72,José Contreras,-,-,-,1,2009,2009,0,1,0,1.000,1.59,7,2,0,0,0,0,17.0,20,3,3,2,8,1,17,0,0,0,76,302,contrjo01
73,Aaron Cook,S,-,-,10,2002,2011,1,72,68,.514,4.53,238,206,5,11,2,0,1312.1,1519,708,660,111,408,44,558,47,2,35,5710,106,cookaa01
74,Mark Corey,-,-,-,1,2002,2002,0,0,0,,12.00,14,0,3,0,0,0,12.0,22,16,16,7,8,1,12,2,0,0,66,41,coreyma02
75,Manny Corpas,S,-,F,6,2006,2013,0,13,18,.419,4.01,311,0,121,0,0,34,327.2,342,150,146,31,96,16,236,10,1,7,1386,118,corpama01
76,David Cortés,-,-,F,2,2005,2006,0,5,1,.833,4.17,80,0,30,0,0,2,82.0,85,38,38,12,16,3,50,2,0,3,337,117,corteda01
77,Jeff Criswell,S,C,F,1,2024,2024,0,1,0,1.000,2.84,9,0,1,0,0,0,12.2,10,4,4,3,5,0,17,1,0,0,53,166,criswje01
78,Rich Croushore,-,-,-,1,2000,2000,0,2,0,1.000,8.74,6,0,1,0,0,0,11.1,15,11,11,1,6,1,11,1,0,1,56,68,crousri01
79,Nelson Cruz,-,-,F,1,2003,2003,0,3,5,.375,7.21,20,7,1,0,0,0,53.2,65,43,43,15,11,2,38,3,0,3,233,69,cruzne01
80,John Curtiss,-,-,F,1,2024,2024,0,0,0,,15.43,3,0,2,0,0,0,2.1,6,4,4,2,0,0,1,0,0,0,12,34,curtijo02
81,Jim Czajkowski,S,C,F,1,1994,1994,0,0,0,,4.15,5,0,2,0,0,0,8.2,9,4,4,2,6,1,2,3,0,1,42,124,czajkji01
82,Matt Daley,S,-,-,3,2009,2011,0,1,2,.333,4.71,92,0,19,0,0,0,80.1,78,42,42,9,30,3,80,5,0,1,346,100,daleyma01
83,Vic Darensbourg,-,-,-,1,2003,2003,0,0,0,,0.00,3,0,2,0,0,0,2.1,4,1,0,0,0,0,0,0,0,0,12,,darenvi01
84,Joe Davenport,-,-,F,1,2001,2001,0,0,0,,3.48,7,0,3,0,0,0,10.1,8,7,4,1,7,0,8,0,0,0,44,157,davenjo01
85,Kane Davis,-,-,-,1,2001,2001,0,2,4,.333,4.35,57,0,6,0,0,0,68.1,66,36,33,11,32,4,47,1,0,4,301,123,daviska01
86,Noah Davis,S,C,F,3,2022,2024,0,0,4,.000,7.71,18,6,3,0,0,0,51.1,77,47,44,10,23,0,43,4,1,4,249,63,davisno01
87,Wade Davis,-,-,-,3,2018,2020,0,4,13,.235,6.49,124,0,97,0,0,60,112.1,103,83,81,18,58,1,123,4,0,9,492,76,daviswa01
88,Zach Day,-,-,-,2,2005,2006,0,1,3,.250,9.12,8,6,0,0,0,0,24.2,42,28,25,5,17,2,13,1,0,1,130,54,dayza01
89,Jorge De La Rosa,-,-,-,9,2008,2016,0,86,61,.585,4.35,209,200,0,2,0,0,1141.1,1095,599,552,129,481,23,985,48,7,70,4911,105,rosajo01
90,Valerio De Los Santos,-,-,F,1,2008,2008,0,0,1,.000,5.63,2,2,0,0,0,0,8.0,6,5,5,1,11,0,10,0,0,0,40,87,delosva01
91,Sam Deduno,S,-,-,1,2010,2010,0,0,0,,3.38,4,0,3,0,0,0,2.2,3,1,1,1,1,0,3,0,0,0,12,154,dedunsa01
92,Mike DeJean,S,-,F,6,1997,2006,0,17,12,.586,4.70,264,1,64,0,0,4,294.2,316,169,154,30,124,18,165,8,0,16,1284,115,dejeami01
